
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      212    10.6066017180        -10.6066017176        -38.3333333333     
      213   -15.0000000000        0.183697019872E-014   -50.0000000000     
      214   -10.6066017189        -10.6066017167        -50.0000000000     
      215   -15.0000000000        0.183697019872E-014   -38.3333333333     
      216   -15.0000000000        0.183697019872E-014   -26.6666666667     
      217   -10.6066017208        -10.6066017148        -26.6666666667     
      218   -10.6066017198        -10.6066017157        -38.3333333333     
      219   0.888178419700E-015    15.0000000000        -50.0000000000     
      220   -10.6066017160         10.6066017195        -50.0000000000     
      221   0.296059473233E-015    15.0000000000        -26.6666666667     
      222   0.592118946467E-015    15.0000000000        -38.3333333333     
      223   -10.6066017198         10.6066017157        -26.6666666667     
      224   -10.6066017180         10.6066017176        -38.3333333333     
      225    10.6066017189         10.6066017167        -50.0000000000     
      226    10.6066017208         10.6066017148        -26.6666666667     
      227    10.6066017198         10.6066017157        -38.3333333333     

   NODE        X                   Y                   Z
      228   0.888178419700E-015    15.0000000000         50.0000000000     
      229    10.6066017189         10.6066017167         50.0000000000     
      230   0.133662521814E-014    15.0000000000         26.6666666667     
      231   0.111240181892E-014    15.0000000000         38.3333333333     
      232    10.6066017208         10.6066017148         26.6666666667     
      233    10.6066017198         10.6066017157         38.3333333333     
      234   -10.6066017160         10.6066017195         50.0000000000     
      235   -10.6066017180         10.6066017176         38.3333333333     
      236   -10.6066017198         10.6066017157         26.6666666667     
      237   -10.6066017178        -10.6066017178         10.6066017178     
      238   -13.7280836608        -13.7280836608         6.04480926111     
      239   -13.7280836612        -6.04480926023         13.7280836612     
      240   -14.1520556325        -10.6066017190         10.6066017166     
      241   -6.04480926089        -13.7280836609         13.7280836609     
      242   -10.6066017191        -14.1520556324         10.6066017165     
      243   -10.6066017194        -10.6066017162         14.1520556325     

